booking_id;user_id;book_id;starttime;endtime
895;488;5006;2017-09-22;2017-10-20
2499;968;4737;2017-09-22;2017-12-22
801;1934;6762;2017-09-23;2017-11-17
4247;1939;2072;2017-09-23;2017-11-08
245;645;1603;2017-09-24;2017-09-27
2245;915;1517;2017-09-24;2017-12-02
2628;83;5887;2017-09-24;2017-10-24
868;1101;4230;2017-09-25;2017-10-11
2068;478;5227;2017-09-25;2017-11-25
3185;1104;3351;2017-09-25;2017-12-29
3666;1237;1021;2017-09-25;2017-10-25
517;1235;6117;2017-09-26;2017-10-13
4769;687;5307;2017-09-26;2017-12-09
666;1450;5408;2017-09-27;2017-12-10
2405;1070;101;2017-09-27;2017-11-25
1402;110;1091;2017-09-28;2017-11-26
3511;498;80;2017-09-28;2017-11-20
3857;140;3063;2017-09-28;2017-11-28
4422;496;1053;2017-09-28;2017-11-10
423;1890;1428;2017-09-29;2017-12-05
2970;1334;1642;2017-09-29;2017-11-29
4607;1993;464;2017-09-30;2017-11-07
893;403;5197;2017-10-01;2017-11-26
1301;1059;3881;2017-10-01;2017-11-22
1495;852;6457;2017-10-01;2018-01-03
1786;95;1795;2017-10-01;2017-10-17
3733;1676;3085;2017-10-01;2017-12-21
2065;1674;4334;2017-10-02;2017-12-07
4471;448;5792;2017-10-02;2017-10-05
4735;631;6259;2017-10-02;2017-11-15
1152;255;2064;2017-10-03;2017-12-11
2826;1658;4072;2017-10-03;2018-01-01
3374;1;3752;2017-10-04;2017-12-18
4345;870;876;2017-10-04;2017-12-12
4304;132;549;2017-10-05;2017-12-30
4851;698;2228;2017-10-05;2018-01-13
1310;1008;598;2017-10-06;2017-10-29
606;1853;1263;2017-10-07;2017-11-12
1751;576;5458;2017-10-07;2017-10-21
2353;93;5560;2017-10-07;2017-12-12
2713;78;4857;2017-10-07;2017-11-07
3143;1775;2989;2017-10-07;2017-12-07
3249;25;1326;2017-10-07;2017-11-14
3684;831;2957;2017-10-07;2017-11-25
1107;1568;2849;2017-10-08;2018-01-12
1776;667;3917;2017-10-08;2017-11-22
4492;1774;503;2017-10-08;2017-11-19
4600;1577;2992;2017-10-08;2017-11-23
355;1098;3368;2017-10-09;2017-12-21
4803;1470;2237;2017-10-09;2017-12-06
3683;1926;2739;2017-10-10;2017-12-09
4596;1639;4550;2017-10-10;2017-10-23
4659;847;2147;2017-10-10;2017-10-16
4876;576;1536;2017-10-10;2017-11-07
2484;52;4600;2017-10-12;2017-10-24
2831;781;2274;2017-10-12;2017-12-14
3155;671;5969;2017-10-12;2017-11-10
27;234;165;2017-10-13;2017-11-28
345;1008;5715;2017-10-13;2017-11-07
1080;513;5144;2017-10-13;2017-12-24
4298;1778;6653;2017-10-13;2017-11-28
519;1953;4097;2017-10-14;2017-11-18
536;944;1401;2017-10-14;2017-12-10
3339;306;458;2017-10-14;2018-01-20
4056;262;5184;2017-10-14;2017-10-23
2630;714;4729;2017-10-15;2017-10-24
4170;750;4681;2017-10-15;2017-10-19
4465;1868;6462;2017-10-15;2017-11-18
797;1941;2774;2017-10-16;2017-12-09
2663;1664;5057;2017-10-16;2018-01-14
3068;1570;1239;2017-10-16;2018-01-12
413;1074;4748;2017-10-17;2018-01-16
1480;1217;5793;2017-10-17;2017-12-31
3239;654;6676;2017-10-17;2017-12-25
3252;1811;2152;2017-10-17;2018-01-10
3423;272;411;2017-10-17;2018-01-07
123;1004;3096;2017-10-18;2017-12-27
332;403;3902;2017-10-18;2017-11-30
665;153;1909;2017-10-18;2017-11-29
901;918;1882;2017-10-18;2017-11-10
2677;793;5151;2017-10-18;2017-10-25
1452;1080;1781;2017-10-19;2017-12-02
3040;1294;6366;2017-10-19;2018-01-08
4053;473;4384;2017-10-19;2017-12-20
1376;95;2816;2017-10-20;2017-10-21
2589;666;4221;2017-10-20;2017-10-27
3082;460;3314;2017-10-20;2017-12-20
4714;1092;5700;2017-10-20;2017-12-24
575;1507;1514;2017-10-21;2018-01-12
3138;801;1698;2017-10-21;2017-12-08
3542;278;3954;2017-10-21;2017-12-07
3740;667;1883;2017-10-21;2018-01-29
4626;1930;5311;2017-10-21;2018-01-26
540;522;3483;2017-10-22;2018-01-23
725;1906;2976;2017-10-22;2017-12-19
1592;1111;1983;2017-10-22;2017-11-28
1186;1767;1119;2017-10-23;2018-01-31
1805;792;6280;2017-10-23;2017-12-24
3519;1616;6153;2017-10-23;2018-01-29
1726;1952;349;2017-10-24;2017-12-17
2833;380;2067;2017-10-24;2017-12-14
3241;447;3420;2017-10-24;2018-01-26
3659;1619;1452;2017-10-25;2018-01-21
4337;1346;6752;2017-10-25;2017-11-08
