booking_id;user_id;book_id;starttime;endtime
707;1319;1064;2017-09-23;2017-12-17
3489;1098;2393;2017-09-23;2017-11-14
3733;885;3657;2017-09-23;2017-12-24
4654;1236;5888;2017-09-23;2017-11-01
458;1497;1478;2017-09-24;2017-11-18
784;1603;2418;2017-09-24;2017-12-12
4085;1971;3821;2017-09-24;2017-10-29
3091;736;4092;2017-09-24;2017-11-09
764;274;6535;2017-09-24;2017-11-09
3925;643;5651;2017-09-25;2017-11-06
418;575;2230;2017-09-26;2017-12-25
269;1605;3280;2017-09-26;2017-10-18
436;1262;2754;2017-09-27;2017-12-23
856;170;4146;2017-09-27;2017-10-11
2964;1734;5276;2017-09-27;2017-10-20
502;1983;1575;2017-09-28;2017-10-29
2998;965;1800;2017-09-28;2017-11-23
1588;1351;282;2017-09-29;2017-12-20
3908;1541;1839;2017-09-29;2017-10-25
3753;570;4874;2017-09-29;2017-11-19
2216;1591;1591;2017-09-30;2017-10-20
3966;473;2120;2017-09-30;2017-11-20
3602;1683;6506;2017-09-30;2017-10-28
701;1;510;2017-10-01;2017-11-07
2137;1104;4966;2017-10-01;2017-10-06
2625;655;6466;2017-10-01;2017-10-15
3927;804;36;2017-10-02;2017-11-19
673;843;1841;2017-10-02;2018-01-10
4761;875;2122;2017-10-02;2018-01-10
4309;1894;2257;2017-10-02;2017-12-27
2426;1899;6043;2017-10-02;2018-01-06
1386;1619;260;2017-10-03;2018-01-06
2355;332;994;2017-10-03;2017-12-10
4763;501;4310;2017-10-03;2017-12-20
3842;1223;6204;2017-10-03;2017-12-14
3680;161;6411;2017-10-03;2017-11-19
550;566;1183;2017-10-04;2017-11-19
1256;512;1404;2017-10-04;2017-10-21
1310;1641;1835;2017-10-05;2018-01-06
1903;458;3026;2017-10-05;2017-12-28
1092;1203;4695;2017-10-05;2017-12-21
792;570;382;2017-10-06;2017-12-13
2532;1106;861;2017-10-06;2017-11-29
288;328;1484;2017-10-06;2017-10-12
2481;752;2199;2017-10-06;2017-10-13
4227;1257;1145;2017-10-07;2017-12-24
4980;671;4130;2017-10-07;2017-12-11
750;1758;4237;2017-10-07;2017-10-27
2632;1871;345;2017-10-08;2018-01-06
1907;971;588;2017-10-08;2017-11-08
74;1174;3646;2017-10-08;2017-10-23
2602;1384;6333;2017-10-08;2017-11-15
4820;1737;588;2017-10-09;2018-01-12
212;827;2056;2017-10-09;2017-11-06
3741;1698;3693;2017-10-09;2018-01-02
2226;1054;4147;2017-10-09;2017-11-26
1384;216;4750;2017-10-09;2017-11-08
1593;478;5006;2017-10-09;2018-01-04
4225;692;6566;2017-10-09;2017-11-02
8;97;2206;2017-10-10;2017-12-18
2376;1381;2718;2017-10-10;2017-11-25
1360;1233;3155;2017-10-10;2017-11-23
2882;1342;4668;2017-10-10;2017-10-26
2310;1327;5126;2017-10-10;2017-12-07
870;417;488;2017-10-11;2017-11-30
4524;525;188;2017-10-12;2017-11-11
938;236;213;2017-10-12;2017-11-04
795;632;208;2017-10-13;2017-10-24
1362;1157;809;2017-10-13;2017-12-25
1755;360;2915;2017-10-13;2017-11-13
2510;635;3629;2017-10-13;2017-12-14
799;1415;6501;2017-10-13;2017-10-24
1537;880;471;2017-10-14;2017-11-28
1769;257;573;2017-10-14;2017-12-13
4467;745;2343;2017-10-14;2017-11-08
4894;1253;2551;2017-10-14;2018-01-04
1913;729;2965;2017-10-14;2017-10-20
1352;1085;3216;2017-10-14;2018-01-11
382;1383;5517;2017-10-14;2018-01-12
