review_id;user_id;book_id;stars;review
707;1319;1064;1;fascinating 
3489;1098;2393;4;original
3733;885;3657;5;poor
4654;1236;5888;4;rubbish
458;1497;1478;4;unoriginal
784;1603;2418;4;entertaining 
4085;1971;3821;1;fascinating 
3091;736;4092;5;strange
764;274;6535;4;touching
3925;643;5651;4;horrible
418;575;2230;5;fascinating 
269;1605;3280;1;boring 
436;1262;2754;2;funny 
856;170;4146;2;brilliant
2964;1734;5276;1;boring 
502;1983;1575;4;strange
2998;965;1800;2;unoriginal
1588;1351;282;1;entertaining 
3908;1541;1839;1;violent
3753;570;4874;5;disgusting 
2216;1591;1591;2;strange
3966;473;2120;4;shocking
3602;1683;6506;2;brilliant
701;1;510;4;funny 
2137;1104;4966;3;unoriginal
2625;655;6466;2;boring 
3927;804;36;1;entertaining 
673;843;1841;1;rubbish
4761;875;2122;4;fascinating 
4309;1894;2257;1;fascinating 
2426;1899;6043;1;boring 
1386;1619;260;1;fascinating 
2355;332;994;5;original
4763;501;4310;1;disgusting 
3842;1223;6204;4;boring 
3680;161;6411;1;disgusting 
550;566;1183;1;shocking
1256;512;1404;3;rubbish
1310;1641;1835;1;poor
1903;458;3026;2;violent
1092;1203;4695;3;unoriginal
792;570;382;3;touching
2532;1106;861;2;amazing
288;328;1484;5;amazing
2481;752;2199;1;unoriginal
4227;1257;1145;1;rubbish
4980;671;4130;5;poor
750;1758;4237;4;funny 
2632;1871;345;3;poor
1907;971;588;1;poor
74;1174;3646;5;funny 
2602;1384;6333;1;horrible
4820;1737;588;3;touching
212;827;2056;1;fascinating 
3741;1698;3693;1;strange
2226;1054;4147;3;violent
1384;216;4750;4;original
1593;478;5006;1;horrible
4225;692;6566;3;brilliant
8;97;2206;5;touching
2376;1381;2718;5;rubbish
1360;1233;3155;4;brilliant
2882;1342;4668;3;rubbish
2310;1327;5126;4;strange
870;417;488;2;entertaining 
4524;525;188;5;horrible
938;236;213;3;original
795;632;208;5;funny 
1362;1157;809;2;fascinating 
1755;360;2915;1;original
2510;635;3629;4;horrible
